policy_number,a_amount_rein,a_number_rein,e_amount_rein,e_number_rein
113078026,0.0,0.0,7086.595890410959,9.448794520547946E-4
355474909,0.0,0.0,0.0,0.0
355548538,0.0,0.0,5209.9006849315065,0.0013893068493150685
355642257,0.0,0.0,7554.452054794521,0.0010072602739726027
355676321,0.0,0.0,0.0,0.0
117182162,0.0,0.0,2115.6164383561645,2.820821917808219E-4
368992913,0.0,0.0,0.0,0.0
117505727,0.0,0.0,0.0,0.0
608686465,0.0,0.0,0.0,0.0
610100646,0.0,0.0,0.0,0.0
610289654,0.0,0.0,0.0,0.0
348339268,0.0,0.0,0.0,0.0
352766539,0.0,0.0,0.0,0.0
349652339,0.0,0.0,13187.496575342468,0.0035166657534246577
351408760,0.0,0.0,1218.2363013698632,3.2486301369863017E-4
348156217,0.0,0.0,0.0,0.0
355452921,0.0,0.0,0.0,0.0
351412150,0.0,0.0,0.0,0.0
348369232,0.0,0.0,0.0,0.0
609079256,0.0,0.0,0.0,0.0
609625348,0.0,0.0,0.0,0.0
610001281,0.0,0.0,0.0,0.0
113185029,0.0,0.0,2269.5616438356165,3.0260821917808215E-4
115358327,0.0,0.0,22953.3698630137,7.651123287671233E-4
116187444,0.0,0.0,0.0,0.0
117536763,0.0,0.0,4801.664383561643,6.402219178082191E-4
118974971,0.0,0.0,11925.770547945203,0.0010600684931506847
349038430,0.0,0.0,5999.3835616438355,7.999178082191781E-4
352408405,0.0,0.0,4520.465753424658,6.027287671232877E-4
354567570,0.0,0.0,0.0,0.0
347909053,0.0,0.0,913.8493150684932,1.2184657534246575E-4
348221631,0.0,0.0,3713.9383561643835,4.951917808219178E-4
351659339,0.0,0.0,1403.720547945204,0.0028074410958904106
352747109,0.0,0.0,212.91780821917808,2.8389041095890412E-5
353953607,0.0,0.0,1761.4109589041097,2.3485479452054796E-4
609338835,0.0,0.0,0.0,0.0
112583976,0.0,0.0,0.0,0.0
113009641,0.0,0.0,0.0,0.0
113545941,0.0,0.0,0.0,0.0
116369232,0.0,0.0,985.2020547945204,2.6272054794520546E-4
118815828,0.0,0.0,0.0,0.0
350936654,0.0,0.0,0.0,0.0
353002876,0.0,0.0,4694.876712328767,6.259835616438356E-4
111885687,0.0,0.0,3564.924657534246,9.506465753424657E-4
353407679,0.0,0.0,3233.8150684931506,8.623506849315069E-4
353661812,0.0,0.0,0.0,0.0
114825920,0.0,0.0,11118.41095890411,7.412273972602741E-4
114886112,0.0,0.0,0.0,0.0
608241634,0.0,0.0,0.0,0.0
608637864,0.0,0.0,0.0,0.0
351765201,0.0,0.0,0.0,0.0
351854963,0.0,0.0,80.30136986301369,2.6767123287671234E-6
353840598,0.0,0.0,0.0,0.0
354341539,0.0,0.0,0.0,0.0
348371261,0.0,0.0,6144.904109589042,5.462136986301371E-4
349969790,0.0,0.0,10160.753424657534,6.773835616438356E-4
351851720,0.0,0.0,434.95890410958907,9.665753424657534E-5
349182238,0.0,0.0,1161.3698630136985,1.5484931506849314E-4
352777387,0.0,0.0,3748.931506849315,4.998575342465753E-4
399807262,0.0,0.0,7867.910958904111,6.993698630136987E-4
608697231,0.0,0.0,0.0,0.0
608821138,0.0,0.0,0.0,0.0
609454194,0.0,0.0,0.0,0.0
609521695,0.0,0.0,0.0,0.0
609714076,0.0,0.0,0.0,0.0
115146847,0.0,0.0,0.0,0.0
115458366,0.0,0.0,582.1849315068495,7.762465753424659E-5
115621419,0.0,0.0,0.0,0.0
119189173,0.0,0.0,2061.3698630136983,2.7484931506849313E-4
352885008,0.0,0.0,0.0,0.0
352986921,0.0,0.0,1311.7808219178082,1.749041095890411E-4
352004584,0.0,0.0,2733.595890410959,1.457917808219178E-4
352183065,0.0,0.0,14235.472602739725,0.00189806301369863
353685852,0.0,0.0,0.0,0.0
610551897,0.0,0.0,0.0,0.0
355115387,0.0,0.0,11962.849315068494,7.975232876712329E-4
111799052,0.0,0.0,0.0,0.0
114194038,0.0,0.0,103.25342465753423,2.7534246575342465E-5
114943244,0.0,0.0,0.0,0.0
115161473,0.0,0.0,1405.9726027397257,3.749260273972602E-4
116276908,0.0,0.0,10210.808219178085,0.0013614410958904112
116435017,0.0,0.0,0.0,0.0
117011841,0.0,0.0,0.0,0.0
117479626,0.0,0.0,0.0,0.0
111870820,0.0,0.0,0.0,0.0
111871174,0.0,0.0,8697.380136986301,0.0023193013698630137
349407270,0.0,0.0,2904.657534246575,3.872876712328767E-4
351302021,0.0,0.0,17287.39726027397,7.683287671232876E-4
352406250,0.0,0.0,8845.890410958904,0.0011794520547945206
112689054,0.0,0.0,6385.458904109588,8.513945205479451E-4
354597502,0.0,0.0,0.0,0.0
114249147,0.0,0.0,3223.4280821917805,8.595808219178082E-4
115637514,0.0,0.0,0.0,0.0
115967523,0.0,0.0,0.0,0.0
117033993,0.0,0.0,0.0,0.0
118780501,0.0,0.0,6488.630136986301,8.651506849315068E-4
350850517,0.0,0.0,6279.6883561643845,0.0016745835616438357
353232986,0.0,0.0,2777.054794520548,3.7027397260273973E-4
347844235,0.0,0.0,3039.0410958904113,4.0520547945205483E-4
349176743,0.0,0.0,1123.7876712328766,2.996767123287671E-4
351906235,0.0,0.0,468.4931506849315,1.2493150684931507E-4
347949430,0.0,0.0,309.69863013698625,8.258630136986301E-5
354657520,0.0,0.0,1969.8082191780825,5.25282191780822E-4
355374695,0.0,0.0,4306.808219178082,5.74241095890411E-4
399214998,0.0,0.0,5239.756849315068,9.315123287671233E-4
353017676,0.0,0.0,10533.801369863015,0.0014045068493150686
368291746,0.0,0.0,0.0,0.0
609687041,0.0,0.0,0.0,0.0
609288634,0.0,0.0,0.0,0.0
609676630,0.0,0.0,0.0,0.0
610469637,0.0,0.0,0.0,0.0
112911243,0.0,0.0,5695.890410958905,7.594520547945206E-4
114422652,0.0,0.0,0.0,0.0
114438773,0.0,0.0,6668.6301369862995,0.001481917808219178
114610785,0.0,0.0,481.80821917808214,1.284821917808219E-4
114994239,0.0,0.0,9.67808219178082,2.580821917808219E-6
115276131,0.0,0.0,13.099315068493151,3.4931506849315072E-6
115308629,0.0,0.0,150.5650684931507,4.015068493150685E-5
116313842,0.0,0.0,0.0,0.0
117347161,0.0,0.0,0.0,0.0
111913034,0.0,0.0,2223.8630136986303,2.9651506849315073E-4
348267709,0.0,0.0,0.0,0.0
352757389,0.0,0.0,129.6164383561645,2.592328767123288E-4
353761570,0.0,0.0,0.0,0.0
353958200,0.0,0.0,57.3904109589041,7.652054794520547E-6
354762148,0.0,0.0,0.0,0.0
348828336,0.0,0.0,3720.128424657534,6.613561643835617E-4
352766521,0.0,0.0,1993.6849315068494,2.6582465753424657E-4
608608626,0.0,0.0,0.0,0.0
610749558,0.0,0.0,0.0,0.0
112920988,0.0,0.0,0.0,0.0
113528194,0.0,0.0,11609.412090739723,0.001579945205479452
113951941,0.0,0.0,6326.506849315068,5.623561643835616E-4
119116721,0.0,0.0,3711.246575342466,4.948328767123288E-4
609200563,0.0,0.0,0.0,0.0
609672837,0.0,0.0,0.0,0.0
352004832,0.0,0.0,0.0,0.0
352311880,0.0,0.0,1907.260273972603,5.086027397260274E-4
354132466,0.0,0.0,0.0,0.0
113998801,0.0,0.0,137.5068493150685,1.8334246575342468E-5
114205271,0.0,0.0,334.7260273972602,2.231506849315068E-5
115914152,0.0,0.0,3025.5821917808216,4.034109589041096E-4
118926260,0.0,0.0,477.69863013698625,6.369315068493151E-5
119326023,0.0,0.0,0.0,0.0
119374247,0.0,0.0,2587.3179001238123,0.0011743424657534246
370529240,0.0,0.0,0.0,0.0
610727372,0.0,0.0,0.0,0.0
611020538,0.0,0.0,0.0,0.0
352153654,0.0,0.0,994.1518129347216,2.0942465753424658E-4
347461386,0.0,0.0,3003.5136986301372,8.009369863013699E-4
347898421,0.0,0.0,1893.8835616438355,5.050356164383561E-4
350728564,0.0,0.0,111.57534246575341,1.4876712328767121E-5
353012883,0.0,0.0,20.075342465753423,2.6767123287671234E-6
349342972,0.0,0.0,851.6712328767123,2.271123287671233E-4
354217705,0.0,0.0,0.0,0.0
354863094,0.0,0.0,177.20610321534218,3.544109589041096E-4
608896858,0.0,0.0,0.0,0.0
610317794,0.0,0.0,0.0,0.0
608988747,0.0,0.0,0.0,0.0
609724950,0.0,0.0,0.0,0.0
610247900,0.0,0.0,0.0,0.0
113330005,0.0,0.0,2776.4589041095887,7.403890410958904E-4
115042087,0.0,0.0,609.0410958904109,1.6241095890410958E-4
119252104,0.0,0.0,0.0,0.0
348669672,0.0,0.0,2429.1164383561645,6.477643835616439E-4
348737545,0.0,0.0,753.4109589041096,1.0045479452054796E-4
349257758,0.0,0.0,873.4309983040876,6.638246575342466E-4
351047279,0.0,0.0,0.0,0.0
352394589,0.0,0.0,0.0,0.0
